known1,known2,known3,estimated_p
0,0,0,0.021990296556294336
0,0,1,0.0752513897825944
0,0,2,0.1332431580382871
0,0,3,0.21671506683800595
0,1,0,0.07100529295006341
0,1,1,0.1296794035997465
0,1,2,0.1982771601988284
0,1,3,0.2929389808495691
0,2,0,0.11773154332967123
0,2,1,0.1823440446036236
0,2,2,0.2699209922706624
0,2,3,0.38779929968270677
0,3,0,0.16822126281206531
0,3,1,0.2470857147294842
0,3,2,0.34521397754617666
0,3,3,0.5040335268788675
1,0,0,0.06757252780020548
1,0,1,0.1252361210711269
1,0,2,0.1895986500911613
1,0,3,0.2819454273938214
1,1,0,0.11650454132860881
1,1,1,0.17452663258735043
1,1,2,0.2562558059795544
1,1,3,0.367816008641498
1,2,0,0.16634495420237225
1,2,1,0.24256098320169087
1,2,2,0.3282779008283031
1,2,3,0.4748379096237692
1,3,0,0.22592116221317748
1,3,1,0.30469344313761704
1,3,2,0.41917009978533565
1,3,3,0.612225058736175
2,0,0,0.11435307778953352
2,0,1,0.1747536457445194
2,0,2,0.24939560302817484
2,0,3,0.3533970108847182
2,1,0,0.16334291910525675
2,1,1,0.23517999437691714
2,1,2,0.3193799468821438
2,1,3,0.44798262786500326
2,2,0,0.21548616025178377
2,2,1,0.2908423777205509
2,2,2,0.3995901155792436
2,2,3,0.5678103816310219
2,3,0,0.27564094880004814
2,3,1,0.3599387871842747
2,3,2,0.4877411367804511
2,3,3,0.7453306998633268
3,0,0,0.15818418649493654
3,0,1,0.2224205937647827
3,0,2,0.30356724899611665
3,0,3,0.42619912763698253
3,1,0,0.20789944971937577
3,1,1,0.28253957578141575
3,1,2,0.37314102124649345
3,1,3,0.5279582896991799
3,2,0,0.26181148053838954
3,2,1,0.34794858909486887
3,2,2,0.4677417462972836
3,2,3,0.6730748939735559
3,3,0,0.3191920509412187
3,3,1,0.4232891193734412
3,3,2,0.5696759118626955
3,3,3,0.9072033473374291
